Date,Open,High,Low,Close,P/E,P/B,Div Yield %
05 Jan 2018,25524.45,25643.35,25499.55,25601.85,29.64,2.97,0.18
04 Jan 2018,25367.65,25490.35,25310.3,25462.6,29.48,2.96,0.18
03 Jan 2018,25425.75,25454.9,25300.9,25318.6,29.31,2.94,0.18
02 Jan 2018,25382.2,25425.5,25232.8,25338.25,29.33,2.94,0.18
01 Jan 2018,25565.75,25588.0,25271.55,25318.1,29.31,2.94,0.18
29 Dec 2017,25484.85,25566.4,25450.25,25539.0,29.57,2.97,0.18
28 Dec 2017,25463.6,25561.95,25417.4,25490.0,29.42,2.97,0.18
27 Dec 2017,25652.85,25733.2,25429.55,25496.0,29.43,2.97,0.18
26 Dec 2017,25659.75,25712.95,25545.6,25675.0,29.63,2.99,0.18
22 Dec 2017,25615.6,25694.5,25560.5,25648.0,29.6,2.99,0.18
21 Dec 2017,25608.25,25629.95,25508.9,25554.0,29.49,2.98,0.18
20 Dec 2017,25779.05,25780.05,25566.05,25591.0,29.54,2.98,0.18
19 Dec 2017,25640.9,25757.95,25619.6,25716.0,29.68,2.99,0.18
18 Dec 2017,25181.75,25759.9,24617.15,25594.0,29.54,2.98,0.18
15 Dec 2017,25487.15,25559.05,25411.25,25440.0,29.36,2.96,0.18
14 Dec 2017,25062.4,25205.9,24888.65,25168.0,29.05,2.93,0.18
13 Dec 2017,25118.2,25270.75,24938.55,25000.0,28.85,2.91,0.18
12 Dec 2017,25413.4,25416.2,25108.6,25125.0,29,2.93,0.18
11 Dec 2017,25434.75,25448.85,25318.7,25404.0,29.32,2.96,0.18
08 Dec 2017,25145.5,25367.7,25145.5,25321.0,29.22,2.95,0.18
07 Dec 2017,24935.3,25097.4,24875.35,25057.0,28.92,2.92,0.18
06 Dec 2017,25066.3,25077.45,24813.6,24851.0,28.68,2.89,0.19
05 Dec 2017,25030.75,25217.7,24921.3,25124.0,29,2.93,0.18
04 Dec 2017,25295.05,25297.2,24993.35,25075.0,28.94,2.92,0.18
01 Dec 2017,25409.55,25441.35,25152.65,25191.0,29.07,2.93,0.18
30 Nov 2017,25693.8,25700.85,25246.85,25332.0,29.24,2.95,0.18
29 Nov 2017,25829.65,25877.75,25746.8,25795.0,29.77,3.0,0.18
28 Nov 2017,25830.45,25953.5,25795.5,25846.0,29.83,3.01,0.18
27 Nov 2017,25693.05,25931.85,25673.5,25891.0,29.88,3.01,0.18
24 Nov 2017,25776.6,25849.0,25749.1,25779.0,29.75,3.0,0.18
23 Nov 2017,25826.3,25838.55,25620.95,25736.0,29.7,3.0,0.18
22 Nov 2017,25805.65,25831.95,25665.85,25766.0,29.4,3.0,0.18
21 Nov 2017,25829.3,25871.1,25726.5,25757.0,29.33,3.0,0.18
20 Nov 2017,25733.7,25803.15,25681.7,25768.0,29.34,3.0,0.18
17 Nov 2017,25875.7,25924.9,25679.55,25728.0,29.29,3.0,0.18
16 Nov 2017,25292.9,25496.05,25273.7,25446.0,28.97,2.96,0.18
15 Nov 2017,25241.65,25318.05,25166.35,25218.0,28.71,2.94,0.18
14 Nov 2017,25352.55,25404.8,25223.1,25284.0,28.79,2.94,0.18
13 Nov 2017,25570.25,25611.55,25337.25,25358.0,28.87,2.95,0.18
10 Nov 2017,25250.9,25598.55,25237.2,25498.0,29.03,2.97,0.18
09 Nov 2017,25281.0,25385.2,25166.15,25291.0,28.8,2.94,0.18
